title,episodes,rating,ratings_given,start_year,end_year,genres
The Haunting of Hill House,10,8.5,302000.0,2018,,"['Drama', 'Horror', 'Mystery', 'Thriller']"
The Family Man,20,8.7,102000.0,2019,,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
Dragon Ball,153,8.5,70000.0,1986,1989,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
Justice League,52,8.5,53000.0,2001,2004,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Battlestar Galactica,2,8.5,82000.0,2003,,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Dragon Ball,153,8.5,67000.0,1995,2003,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
The Venture Bros.,86,8.6,29000.0,2003,2018,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
The Bear,29,8.6,255000.0,2022,,"['Comedy', 'Drama']"
Endeavour,36,8.6,35000.0,2012,2023,"['Crime', 'Drama', 'Mystery']"
"Yes, Prime Minister",16,8.6,13000.0,1986,1987,['Comedy']
Flight of the Conchords,22,8.5,67000.0,2007,2009,"['Comedy', 'Music', 'Musical']"
The Queen's Gambit,7,8.5,589000.0,2020,,['Drama']
Rocket Boys,16,8.9,19000.0,2022,,"['Drama', 'History']"
Samurai Champloo,26,8.5,58000.0,2004,2005,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Thriller']"
Coupling,28,8.5,49000.0,2000,2004,"['Comedy', 'Romance']"
Making a Murderer,20,8.5,105000.0,2015,2018,"['Documentary', 'Crime']"
The IT Crowd,26,8.5,168000.0,2006,2013,['Comedy']
Ezel,71,8.7,39000.0,2009,2011,"['Crime', 'Drama', 'Thriller']"
Mr,45,8.5,431000.0,2015,2019,"['Crime', 'Drama', 'Thriller']"
Jujutsu Kaisen,48,8.5,137000.0,2020,,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']"
Black Sun,20,8.8,13000.0,2017,2020,"['Crime', 'Drama', 'Thriller']"
Impractical Jokers,300,8.6,48000.0,2011,,"['Comedy', 'Reality-TV']"
I'm Alan Partridge,12,8.6,23000.0,1997,2002,['Comedy']
Samurai Jack,62,8.5,62000.0,2001,2017,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']"
Detectorists,20,8.6,23000.0,2014,2022,['Comedy']
Spaced,14,8.5,59000.0,1999,2001,['Comedy']
Happy Valley,18,8.5,67000.0,2014,2023,"['Crime', 'Drama', 'Thriller']"
Long Way Round,10,8.6,16000.0,2004,2010,"['Documentary', 'Adventure']"
The Eric Andre Show,68,8.6,23000.0,2012,,"['Comedy', 'Talk-Show']"
Mob Psycho 100,37,8.5,51000.0,2016,2022,"['Animation', 'Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi']"
Spartacus,33,8.5,262000.0,2010,2013,"['Action', 'Adventure', 'Biography', 'Drama', 'Romance']"
Whose Line Is It Anyway?,220,8.5,47000.0,1998,2007,"['Comedy', 'Game-Show']"
